query_id,pmid,rank,score,model_name
Q1,40865647,1,0.19566093753895383,tfidf
Q1,40219952,2,0.1857531534819786,tfidf
Q1,41919360,3,0.18070569164068517,tfidf
Q1,36635219,4,0.16132596281565736,tfidf
Q1,41947717,5,0.1455131948803564,tfidf
Q1,37182886,6,0.12405685177760334,tfidf
Q1,39794837,7,0.11991261840919251,tfidf
Q1,41307192,8,0.1161100686126712,tfidf
Q1,41883140,9,0.1136580245548322,tfidf
Q1,38253722,10,0.11071742357614471,tfidf
Q2,40753723,1,0.23197024001010388,tfidf
Q2,40047132,2,0.1996389866086112,tfidf
Q2,41706242,3,0.1868336909557738,tfidf
Q2,33035869,4,0.17089880916393108,tfidf
Q2,40219952,5,0.15154662629458135,tfidf
Q2,38189711,6,0.1276690759571061,tfidf
Q2,36229190,7,0.12744546628764675,tfidf
Q2,41868838,8,0.11790607326691432,tfidf
Q2,41895089,9,0.11402228336376782,tfidf
Q2,40645254,10,0.1117321272231026,tfidf
Q3,34011720,1,0.20752216266790038,tfidf
Q3,41949989,2,0.18103217159224783,tfidf
Q3,41055457,3,0.172262807338636,tfidf
Q3,41906672,4,0.16656601482666566,tfidf
Q3,32424064,5,0.1524307565640118,tfidf
Q3,38011353,6,0.15099140920875054,tfidf
Q3,38962980,7,0.1447392469210921,tfidf
Q3,39694820,8,0.14405296275497073,tfidf
Q3,40924955,9,0.1399795247139509,tfidf
Q3,38922460,10,0.13632674287737567,tfidf
Q4,38928637,1,0.25555439811987996,tfidf
Q4,33035869,2,0.2524130648594071,tfidf
Q4,41117607,3,0.1648626106895767,tfidf
Q4,33105412,4,0.1636270212664322,tfidf
Q4,38962980,5,0.15327837529814292,tfidf
Q4,40219952,6,0.14391605026127047,tfidf
Q4,37300357,7,0.14274842593096654,tfidf
Q4,36229190,8,0.1406029693576175,tfidf
Q4,41055457,9,0.13909295479834818,tfidf
Q4,37067590,10,0.13193942698781408,tfidf
Q5,33105412,1,0.25280048199957855,tfidf
Q5,40047132,2,0.2319223477965301,tfidf
Q5,37440532,3,0.21781774369032464,tfidf
Q5,34224526,4,0.21114489589428473,tfidf
Q5,38951431,5,0.19446344825266795,tfidf
Q5,39641374,6,0.1935775354754833,tfidf
Q5,35764402,7,0.1603077489779377,tfidf
Q5,38928637,8,0.1454822490354068,tfidf
Q5,40232370,9,0.13379366308064689,tfidf
Q5,38011353,10,0.12274276092423123,tfidf
Q6,33035869,1,0.2613409928374504,tfidf
Q6,37300357,2,0.2371372008861456,tfidf
Q6,40260743,3,0.19597463145805988,tfidf
Q6,40047132,4,0.18247485815754774,tfidf
Q6,36635219,5,0.17697826342540382,tfidf
Q6,41706242,6,0.14638569892574152,tfidf
Q6,35648233,7,0.13563716699411,tfidf
Q6,37562366,8,0.13513755575487305,tfidf
Q6,37440532,9,0.1345853189238858,tfidf
Q6,39812684,10,0.13358381366330496,tfidf
Q7,41949995,1,0.12267938577880272,tfidf
Q7,40865647,2,0.11475188411939113,tfidf
Q7,41307192,3,0.10606755004415616,tfidf
Q7,41882372,4,0.1032882337140262,tfidf
Q7,41494407,5,0.09844755644293052,tfidf
Q7,40002697,6,0.09837540322592843,tfidf
Q7,41882255,7,0.09568344851969111,tfidf
Q7,40424561,8,0.08808020401641439,tfidf
Q7,41944915,9,0.08483542882769288,tfidf
Q7,41377063,10,0.08244353647983808,tfidf
Q8,39579685,1,0.2124940589702073,tfidf
Q8,40645254,2,0.15550323913300151,tfidf
Q8,38189711,3,0.12571634077248536,tfidf
Q8,39154408,4,0.12464290558654906,tfidf
Q8,40753723,5,0.12463869956138905,tfidf
Q8,41760132,6,0.12324458083923445,tfidf
Q8,41895089,7,0.12038948676762001,tfidf
Q8,41679586,8,0.11593484881583364,tfidf
Q8,41307192,9,0.10560694091889006,tfidf
Q8,40232370,10,0.0909060067849852,tfidf
Q9,39169442,1,0.1800865979690095,tfidf
Q9,40040194,2,0.13398921018138638,tfidf
Q9,40002697,3,0.11100690155914426,tfidf
Q9,41899699,4,0.10287790837266127,tfidf
Q9,41030116,5,0.09452236640834832,tfidf
Q9,41307192,6,0.08795350023501113,tfidf
Q9,41942436,7,0.0876686917728027,tfidf
Q9,41775065,8,0.08731325215645588,tfidf
Q9,41743465,9,0.07556782044608597,tfidf
Q9,38711111,10,0.07256921276179087,tfidf
Q10,41743465,1,0.23469851329220695,tfidf
Q10,38711111,2,0.2033792237873013,tfidf
Q10,41030116,3,0.13235977260037157,tfidf
Q10,41913058,4,0.12963347857823387,tfidf
Q10,38381447,5,0.12060799510202266,tfidf
Q10,37182886,6,0.0970690610247851,tfidf
Q10,40002697,7,0.09428505785065897,tfidf
Q10,41804736,8,0.0851498848134688,tfidf
Q10,41902954,9,0.08392136344085603,tfidf
Q10,40865647,10,0.08056191931641511,tfidf
Q11,41743465,1,0.19597501769156142,tfidf
Q11,41906672,2,0.1847058486320908,tfidf
Q11,40002697,3,0.15757736464492786,tfidf
Q11,39928305,4,0.1512536107364236,tfidf
Q11,41914594,5,0.1444909028270926,tfidf
Q11,41919533,6,0.1399194487223416,tfidf
Q11,41911088,7,0.13582638636370228,tfidf
Q11,41882255,8,0.13526820858966296,tfidf
Q11,41875506,9,0.13403642572654664,tfidf
Q11,41949989,10,0.13035016501719926,tfidf
Q12,38381447,1,0.24887700281160635,tfidf
Q12,38962980,2,0.1392254837608299,tfidf
Q12,38711111,3,0.10348561664302039,tfidf
Q12,39794837,4,0.08815467824360126,tfidf
Q12,39133883,5,0.079214302449797,tfidf
Q12,41307192,6,0.0751586364756518,tfidf
Q12,32498362,7,0.07123055492898328,tfidf
Q12,40526586,8,0.07080298355914189,tfidf
Q12,37182886,9,0.06731966317249172,tfidf
Q12,38565579,10,0.06671751955175506,tfidf
Q13,39133883,1,0.11853729969450912,tfidf
Q13,41933015,2,0.10683102506730398,tfidf
Q13,38189711,3,0.10524891293740742,tfidf
Q13,41220866,4,0.08978345415830893,tfidf
Q13,39000382,5,0.08972439257487548,tfidf
Q13,41494407,6,0.08181166657118161,tfidf
Q13,41942124,7,0.08078389852246134,tfidf
Q13,37551793,8,0.0776245153069372,tfidf
Q13,41927287,9,0.07749168070465595,tfidf
Q13,41776672,10,0.07660274998182348,tfidf
Q14,38962980,1,0.40063540542014,tfidf
Q14,39694820,2,0.31362551371367864,tfidf
Q14,34011720,3,0.2915452165714104,tfidf
Q14,41117607,4,0.29011999185196485,tfidf
Q14,41055457,5,0.2757355844213649,tfidf
Q14,40260743,6,0.2534999451678451,tfidf
Q14,40219952,7,0.21659032928736874,tfidf
Q14,35764402,8,0.20079336647945936,tfidf
Q14,35030370,9,0.19930912071600007,tfidf
Q14,36537667,10,0.1921764694948051,tfidf
Q15,41030116,1,0.24285885674440447,tfidf
Q15,38711111,2,0.22463711644112233,tfidf
Q15,37182886,3,0.15061651446422128,tfidf
Q15,40002697,4,0.13030335415593058,tfidf
Q15,40040194,5,0.11154824792352558,tfidf
Q15,38565579,6,0.10580821102319413,tfidf
Q15,37947042,7,0.09495900207772395,tfidf
Q15,41307192,8,0.09085988042935388,tfidf
Q15,40232370,9,0.08603250515907795,tfidf
Q15,37611119,10,0.0833516109590344,tfidf
Q16,41743465,1,0.12171750767961959,tfidf
Q16,41706242,2,0.10050936645748587,tfidf
Q16,41777501,3,0.09253815853941678,tfidf
Q16,41307192,4,0.08959621719432845,tfidf
Q16,38189711,5,0.08597121296535855,tfidf
Q16,41924695,6,0.0849400922965521,tfidf
Q16,38711111,7,0.08489123006696553,tfidf
Q16,39794837,8,0.08469372817035761,tfidf
Q16,41947717,9,0.07931723400751431,tfidf
Q16,41760132,10,0.07839448670377273,tfidf
Q17,41911088,1,0.21623183907414342,tfidf
Q17,34011720,2,0.20079662974483842,tfidf
Q17,41875506,3,0.13987239512348673,tfidf
Q17,41919533,4,0.11759639359710955,tfidf
Q17,41743465,5,0.11585169462808867,tfidf
Q17,41906672,6,0.0970773311275213,tfidf
Q17,41870262,7,0.09703020188328151,tfidf
Q17,41929972,8,0.09660905670403847,tfidf
Q17,41779032,9,0.0868162959889861,tfidf
Q17,41899699,10,0.07148506119944861,tfidf
Q18,37551793,1,0.20326491398618565,tfidf
Q18,39154408,2,0.19594236379522234,tfidf
Q18,41706242,3,0.16620989123613042,tfidf
Q18,37682646,4,0.14618558971332068,tfidf
Q18,37611119,5,0.13602285211006132,tfidf
Q18,40232370,6,0.11544745426504674,tfidf
Q18,38189711,7,0.11357621380006311,tfidf
Q18,41868838,8,0.10489090866599633,tfidf
Q18,41895089,9,0.10143583429432551,tfidf
Q18,40645254,10,0.0993984790341127,tfidf
Q19,40865647,1,0.153877978820506,tfidf
Q19,41949989,2,0.14544201442100102,tfidf
Q19,41949889,3,0.1304915300948977,tfidf
Q19,37611119,4,0.11882291122952202,tfidf
Q19,37947042,5,0.11265529231732099,tfidf
Q19,38711107,6,0.10174924935031335,tfidf
Q19,37551793,7,0.10083634357948641,tfidf
Q19,41947717,8,0.09496293200268621,tfidf
Q19,36537667,9,0.09470929135685024,tfidf
Q19,40048937,10,0.09182775745695687,tfidf
Q20,41743465,1,0.22450714070240688,tfidf
Q20,41906672,2,0.18551824763473712,tfidf
Q20,41919533,3,0.17456905472309223,tfidf
Q20,41281807,4,0.1372352230610145,tfidf
Q20,41949989,5,0.13454668081422505,tfidf
Q20,41911088,6,0.1333410244066551,tfidf
Q20,41315191,7,0.12786109805543566,tfidf
Q20,41931282,8,0.12345908029023119,tfidf
Q20,41875506,9,0.11980778727769788,tfidf
Q20,41870262,10,0.11245216639791182,tfidf
