query_id,pmid,rank,score,model_name
Q1,38263475,1,0.26732005818456595,tfidf
Q1,40523575,2,0.18334700842707438,tfidf
Q1,38381373,3,0.1824926372290984,tfidf
Q1,38285070,4,0.1715486152539798,tfidf
Q1,41929982,5,0.15368479841937854,tfidf
Q1,38216851,6,0.13833073971806106,tfidf
Q1,39893456,7,0.11757845115058937,tfidf
Q1,39078732,8,0.1168871994640755,tfidf
Q1,40255034,9,0.11326127805085814,tfidf
Q1,41061181,10,0.10556003468177233,tfidf
Q2,36094488,1,0.2426312241713907,tfidf
Q2,32563921,2,0.22800818453013788,tfidf
Q2,36272508,3,0.19180990611130475,tfidf
Q2,37800768,4,0.18925399761419123,tfidf
Q2,39686570,5,0.1854279532981412,tfidf
Q2,40495080,6,0.15575321446355578,tfidf
Q2,40321052,7,0.15108489509014222,tfidf
Q2,38231496,8,0.14456937104197917,tfidf
Q2,40257599,9,0.14276486498751698,tfidf
Q2,34175775,10,0.1373525891469493,tfidf
Q3,41593765,1,0.28877672041209496,tfidf
Q3,40093920,2,0.25991890116044664,tfidf
Q3,39550564,3,0.20957761121523968,tfidf
Q3,41929968,4,0.19307651110220353,tfidf
Q3,37772490,5,0.18853612280994092,tfidf
Q3,41797866,6,0.1822913874286075,tfidf
Q3,41830112,7,0.18191650323681283,tfidf
Q3,41961641,8,0.17521550857958038,tfidf
Q3,41849958,9,0.17089338389469938,tfidf
Q3,35009710,10,0.1668271655850795,tfidf
Q4,34379018,1,0.35216388053975495,tfidf
Q4,41455505,2,0.3312024730852214,tfidf
Q4,33590339,3,0.23746355349022125,tfidf
Q4,34175775,4,0.20213507567503103,tfidf
Q4,34667130,5,0.19737756841399895,tfidf
Q4,39954575,6,0.19379204230891162,tfidf
Q4,37370972,7,0.18897260406714447,tfidf
Q4,35946086,8,0.1861493570199949,tfidf
Q4,39946137,9,0.1771846018681377,tfidf
Q4,37772490,10,0.17537610358385788,tfidf
Q5,38216851,1,0.26009470556731673,tfidf
Q5,38627230,2,0.24208666123621078,tfidf
Q5,32461443,3,0.24096967365223476,tfidf
Q5,34175775,4,0.2126412930158548,tfidf
Q5,41391056,5,0.20641499426389248,tfidf
Q5,35150351,6,0.19864972961154495,tfidf
Q5,36396812,7,0.1767963567883757,tfidf
Q5,38496013,8,0.16487739354287928,tfidf
Q5,36285339,9,0.1637614408174349,tfidf
Q5,38303097,10,0.1631528730368138,tfidf
Q6,35652366,1,0.26822523222523165,tfidf
Q6,35618438,2,0.21297643764429547,tfidf
Q6,39109593,3,0.2116803123646963,tfidf
Q6,37578548,4,0.18754343368132448,tfidf
Q6,34175775,5,0.18227306652689096,tfidf
Q6,34558326,6,0.1805282990078822,tfidf
Q6,41881459,7,0.17789361641640883,tfidf
Q6,40698100,8,0.15575606498723205,tfidf
Q6,37800768,9,0.1546748187586888,tfidf
Q6,38303097,10,0.15424057132471214,tfidf
Q7,37958816,1,0.12715688153441382,tfidf
Q7,40911035,2,0.1084028966399889,tfidf
Q7,41780490,3,0.10765258150912163,tfidf
Q7,41884666,4,0.09203001046284925,tfidf
Q7,41946675,5,0.08835909249227387,tfidf
Q7,40799319,6,0.08531144393272674,tfidf
Q7,36252364,7,0.08373439690962715,tfidf
Q7,41929970,8,0.08369728803700503,tfidf
Q7,41891380,9,0.08301181701022856,tfidf
Q7,41593765,10,0.07944879423338606,tfidf
Q8,40321052,1,0.2730950794804623,tfidf
Q8,38496013,2,0.23900835857775213,tfidf
Q8,41165792,3,0.19120410745762367,tfidf
Q8,38104911,4,0.16523492157517516,tfidf
Q8,40257599,5,0.16234906258277992,tfidf
Q8,40241602,6,0.15354035771696742,tfidf
Q8,39617167,7,0.14580065939263723,tfidf
Q8,40331237,8,0.1456564817564877,tfidf
Q8,39888130,9,0.14469691293486825,tfidf
Q8,38263165,10,0.14049225797944256,tfidf
Q9,41879312,1,0.12300739243493844,tfidf
Q9,41836633,2,0.10537661345965135,tfidf
Q9,41849958,3,0.09979224284577635,tfidf
Q9,41873784,4,0.09310442193111373,tfidf
Q9,40851106,5,0.08833815974612201,tfidf
Q9,41918278,6,0.08680358682388647,tfidf
Q9,38285070,7,0.08630892977561627,tfidf
Q9,38381373,8,0.08614248751047969,tfidf
Q9,41045626,9,0.08486044009275637,tfidf
Q9,41889025,10,0.08454642623407642,tfidf
Q10,37989566,1,0.1655418785941861,tfidf
Q10,40702219,2,0.15993847618081272,tfidf
Q10,41873111,3,0.15675499890889388,tfidf
Q10,39716304,4,0.15523909156090088,tfidf
Q10,39988572,5,0.1299228519528801,tfidf
Q10,40480806,6,0.10736584450499535,tfidf
Q10,36161838,7,0.10273219750514526,tfidf
Q10,37738896,8,0.10181704064926661,tfidf
Q10,41905093,9,0.09830096634866306,tfidf
Q10,41780490,10,0.09513784722778029,tfidf
Q11,40330593,1,0.25314113102115654,tfidf
Q11,41593765,2,0.25164553595827477,tfidf
Q11,41797866,3,0.1845335261334638,tfidf
Q11,41777506,4,0.18453208654853145,tfidf
Q11,41961641,5,0.16898314723649036,tfidf
Q11,41890204,6,0.16332862135662332,tfidf
Q11,41770546,7,0.16110638847942524,tfidf
Q11,41804520,8,0.16017162787464564,tfidf
Q11,40093920,9,0.15558682545416866,tfidf
Q11,41791118,10,0.15242184808182305,tfidf
Q12,40383496,1,0.17064461936662925,tfidf
Q12,37958816,2,0.1468897401397674,tfidf
Q12,39292534,3,0.13671111921229623,tfidf
Q12,40464460,4,0.12235239855427027,tfidf
